title,budget,genre,language,runtime,release_month,director_experience,lead_actor_popularity,supporting_cast_rating,marketing_budget,production_house_rating,competition_level,num_screens,franchise,ott_release,country,certification_rating,revenue,roi,revenue_budget_ratio,budget_category,runtime_category,release_season,genre_popularity,category
Movie_23,12578243.26,Horror,Telugu,149,12,18,27.61,8.08,1682934.83,9.62,Low,4819,No,No,USA,PG,71306571.64,466.90405938293173,5.669040593829317,Medium,Long,Winter,68,Blockbuster
Movie_24,8564084.35,Mystery,Tamil,139,7,18,33.7,6.95,2817345.72,6.8,Medium,3774,No,No,Germany,G,21243863.94,148.0576214782378,2.480576214782378,Low,Long,Summer,62,Super Hit
Movie_25,19671575.63,Mystery,Spanish,88,9,13,81.95,7.7,4592429.72,9.39,High,3355,No,Yes,Japan,R,111226849.7,465.41911940380754,5.654191194038075,Medium,Short,Fall,62,Hit
Movie_26,47925795.14,Mystery,Korean,118,3,17,94.89,8.46,13982246.53,6.26,High,522,No,Yes,France,UA,118971674.87,148.24142097687064,2.4824142097687063,Medium,Standard,Spring,62,Average
Movie_27,15971306.96,Action,Telugu,148,2,14,86.03,5.07,4526575.56,6.65,Medium,2819,No,Yes,Germany,A,41820597.17,161.84830881241794,2.6184830881241794,Medium,Long,Winter,85,Average
Movie_28,16363980.16,Action,Hindi,90,8,3,91.76,3.2,3212760.24,4.86,High,4137,No,No,Germany,UA,19828174.63,21.169632547391203,1.211696325473912,Medium,Standard,Summer,85,Flop
Movie_29,4476050.73,Thriller,Tamil,160,4,25,24.58,8.61,2108748.84,8.63,Medium,4189,Yes,Yes,France,PG,42054216.77,839.538430343036,9.395384303430358,Low,Epic,Spring,73,Blockbuster
Movie_30,7199289.63,Romance,English,153,1,8,76.79,9.86,2481000.78,4.33,Medium,519,No,No,France,U,18244208.78,153.41679134528727,2.5341679134528725,Low,Epic,Winter,74,Average
Movie_31,20631144.33,Horror,Korean,125,4,19,65.79,4.02,9870141.25,5.81,Medium,2918,No,No,Canada,R,56104104.63,171.93888876255082,2.719388887625508,Medium,Long,Spring,68,Hit
Movie_32,15486897.6,Adventure,French,91,12,9,44.38,6.0,5333610.39,7.81,Medium,1190,Yes,No,France,R,42301779.94,173.145603674683,2.73145603674683,Medium,Standard,Winter,78,Hit
Movie_33,6785693.84,Adventure,Japanese,102,5,17,76.16,7.54,2449453.77,5.9,High,2042,No,No,Japan,U,20349161.11,199.88327781673095,2.99883277816731,Low,Standard,Spring,78,Hit
Movie_34,14000077.8,Adventure,English,172,9,16,83.99,5.2,6089375.07,6.96,Low,751,No,Yes,South Korea,PG-13,63133234.17,350.94916665391673,4.5094916665391676,Medium,Epic,Fall,78,Hit
Movie_35,11201005.46,Action,Spanish,154,6,24,88.52,5.61,1808348.11,7.61,Low,2787,No,No,India,UA,59158083.16,428.1497573700852,5.281497573700852,Medium,Epic,Summer,85,Blockbuster
Movie_36,15864301.88,Romance,Telugu,118,5,1,36.72,6.68,2625550.24,5.0,High,4641,No,No,Germany,PG-13,21865182.81,37.826315808861786,1.3782631580886178,Medium,Standard,Spring,74,Flop
Movie_37,16275779.71,Comedy,Hindi,88,1,13,57.55,4.05,2805466.91,9.44,Low,3344,No,No,UK,PG,19943175.77,22.53284405014842,1.2253284405014842,Medium,Short,Winter,80,Hit
Movie_38,17861046.4,Sci-Fi,Spanish,164,7,19,73.62,8.34,2201255.96,6.2,Medium,4465,No,No,France,U,152037125.72,751.221828302288,8.51221828302288,Medium,Epic,Summer,77,Blockbuster
Movie_39,6415258.58,Comedy,Korean,138,5,10,59.91,6.72,910914.67,6.39,High,3330,Yes,Yes,South Korea,R,20266230.29,215.9066783867658,3.159066783867658,Low,Long,Spring,80,Average
Movie_40,4599684.13,Drama,French,110,7,1,42.24,7.92,1626024.72,9.89,Medium,4455,No,No,France,U,13968708.73,203.68843457952846,3.036884345795284,Low,Standard,Summer,70,Super Hit
Movie_41,72408715.11,Action,Korean,91,10,13,64.25,7.58,35330098.11,9.91,Low,4196,No,Yes,Canada,R,392166664.83,441.60146915221236,5.416014691522124,High,Standard,Fall,85,Blockbuster
Movie_42,17775430.91,Sci-Fi,Telugu,178,4,29,52.93,8.56,2380622.74,7.33,High,1697,No,Yes,Canada,UA,43937259.01,147.17971244951383,2.471797124495138,Medium,Epic,Spring,77,Average
Movie_43,20937612.03,Romance,Tamil,151,1,26,79.15,8.61,2503834.47,5.41,Medium,1551,Yes,No,South Korea,U,101589991.53,385.20333352456333,4.8520333352456335,Medium,Epic,Winter,74,Blockbuster
Movie_44,6372683.17,Horror,Spanish,147,5,25,47.84,8.97,1399297.59,7.54,Medium,1015,No,Yes,France,A,33943833.83,432.64587183297857,5.3264587183297865,Low,Long,Spring,68,Hit
Movie_45,16811408.07,Fantasy,French,179,10,12,30.95,7.02,8389430.84,8.21,Medium,771,No,No,UK,PG,73142233.73,335.0750004130975,4.350750004130974,Medium,Epic,Fall,75,Hit
Movie_46,7310061.18,Fantasy,Spanish,81,12,19,47.46,5.94,3535757.51,8.51,Medium,4912,No,Yes,Canada,A,36874237.27,404.43130860363067,5.044313086036307,Low,Short,Winter,75,Blockbuster
Movie_47,18217546.92,Animation,Japanese,139,1,9,39.31,5.26,2954460.29,9.25,Low,772,No,No,Japan,UA,58579423.34,221.55494698185194,3.2155494698185194,Medium,Long,Winter,72,Flop
Movie_48,9814034.63,Comedy,Japanese,161,4,23,34.81,6.94,1381400.58,7.92,High,4007,No,Yes,USA,PG,23696049.81,141.4506439335847,2.414506439335847,Low,Epic,Spring,80,Average
Movie_49,7045326.92,Fantasy,Korean,86,4,15,45.01,3.36,1019037.12,6.31,Low,4540,Yes,Yes,UK,G,29960189.77,325.2491063963289,4.252491063963289,Low,Short,Spring,75,Hit
Movie_50,14509762.83,Crime,Spanish,166,2,15,59.16,5.33,3954357.39,8.68,High,2883,No,Yes,South Korea,PG-13,18657613.7,28.586620736653344,1.2858662073665335,Medium,Epic,Winter,65,Flop
Movie_51,5884729.1,Animation,English,173,6,14,76.92,4.05,699986.22,4.83,High,904,Yes,Yes,USA,R,3257168.15,-44.65049971459179,0.5534950028540822,Low,Epic,Summer,72,Flop
Movie_52,3308917.57,Animation,Spanish,139,6,1,88.27,7.33,546293.67,8.64,High,1810,No,No,South Korea,A,15857339.28,379.23041129126705,4.792304112912671,Low,Long,Summer,72,Average
Movie_53,24439253.01,Adventure,Spanish,111,2,18,37.31,5.9,5549036.35,4.47,Low,3811,Yes,Yes,Germany,PG-13,130942354.7,435.7870580022282,5.357870580022282,Medium,Standard,Winter,78,Super Hit
Movie_54,43163254.32,Adventure,English,169,3,4,31.5,7.85,7302254.68,7.04,High,1692,Yes,No,USA,U,135262151.04,213.3733847712343,3.1337338477123424,Medium,Epic,Spring,78,Flop
Movie_55,6162901.47,Crime,English,133,3,8,24.04,7.16,1342909.03,7.98,High,1353,No,Yes,India,R,8914781.53,44.652345545287446,1.4465234554528745,Low,Long,Spring,65,Flop
Movie_56,19844233.67,Fantasy,English,119,7,22,65.36,8.31,9790486.67,6.52,Medium,4741,No,No,South Korea,PG-13,110819817.95,458.44846312979337,5.584484631297934,Medium,Standard,Summer,75,Blockbuster
Movie_57,18229709.63,Adventure,French,148,5,28,34.28,4.4,8086574.21,9.48,Low,2041,No,No,South Korea,A,97758178.1,436.25746149638485,5.362574614963848,Medium,Long,Spring,78,Super Hit
Movie_58,51092616.9,Fantasy,Korean,158,6,4,92.32,9.06,21420016.31,4.6,Low,2439,Yes,No,South Korea,PG-13,484782397.61,848.8306276400575,9.488306276400573,High,Epic,Summer,75,Blockbuster
Movie_59,186339892.58,Horror,French,111,7,17,52.73,7.21,88353534.83,6.81,Low,2021,No,Yes,USA,U,886831915.83,375.9216631238867,4.759216631238867,Blockbuster,Standard,Summer,68,Super Hit
Movie_60,4621180.23,Mystery,French,104,6,22,90.48,4.95,835672.24,5.11,Medium,756,No,Yes,South Korea,R,13531352.37,192.81161297619414,2.9281161297619414,Low,Standard,Summer,62,Average
Movie_61,14507039.4,Sci-Fi,Telugu,91,2,9,81.18,9.14,6682765.5,9.91,High,2096,Yes,Yes,Germany,A,63765210.54,339.5466833846195,4.395466833846195,Medium,Standard,Winter,77,Blockbuster
Movie_62,9377435.57,Mystery,Spanish,141,7,5,40.26,4.12,4133322.88,7.51,Medium,3829,No,No,Japan,U,23947376.3,155.37233629854734,2.5537233629854734,Low,Long,Summer,62,Average
Movie_63,12233086.42,Crime,Hindi,92,9,3,41.16,8.93,2101605.46,6.48,Medium,1333,No,No,UK,PG,31667318.37,158.86613797011012,2.588661379701101,Medium,Standard,Fall,65,Flop
Movie_64,7322012.61,Comedy,French,96,1,26,82.19,6.62,2169096.2,7.18,Medium,4214,Yes,Yes,India,PG,70698967.44,865.5674089312992,9.655674089312992,Low,Standard,Winter,80,Blockbuster
Movie_65,5834554.04,Crime,French,135,2,8,22.4,3.83,2723216.04,5.93,Medium,822,No,No,Germany,A,3835025.63,-34.270458312525975,0.6572954168747402,Low,Long,Winter,65,Flop
Movie_66,21029039.65,Crime,Tamil,126,10,27,47.31,3.35,4983072.16,8.77,Medium,743,No,Yes,Germany,G,30668451.39,45.83857323223033,1.4583857323223033,Medium,Long,Fall,65,Average
Movie_67,11939160.37,Fantasy,Telugu,179,11,2,56.66,3.9,1921377.25,7.79,Medium,1189,No,No,USA,R,17214741.64,44.187205016997375,1.4418720501699738,Medium,Epic,Fall,75,Flop
Movie_68,4305603.17,Horror,Korean,175,7,6,74.25,8.92,499886.97,6.7,High,3858,No,No,South Korea,PG-13,24418381.87,467.13033937124317,5.6713033937124315,Low,Epic,Summer,68,Hit
Movie_69,13419409.07,Mystery,Spanish,153,11,17,77.58,6.56,6210965.9,6.52,Medium,2312,No,No,India,UA,70468469.02,425.1234883176566,5.251234883176566,Medium,Epic,Fall,62,Super Hit
Movie_70,19837290.5,Mystery,Hindi,146,11,10,35.82,8.45,8812759.16,5.48,Medium,1274,No,Yes,South Korea,PG,62381823.65,214.46746041249938,3.1446746041249938,Medium,Long,Fall,62,Average
Movie_71,2713194.62,Thriller,French,134,10,28,68.8,4.79,950137.05,5.92,High,2837,No,Yes,UK,R,7848162.49,189.2591055631682,2.892591055631682,Low,Long,Fall,73,Average
Movie_72,25189079.24,Animation,Telugu,173,4,10,63.56,6.43,8888747.47,6.0,Low,2312,No,No,India,A,76129469.85,202.23204716870788,3.0223204716870784,Medium,Epic,Spring,72,Hit
Movie_73,4867774.82,Adventure,Hindi,128,9,7,71.59,5.03,988758.8,7.52,Medium,1788,No,No,France,A,12959716.28,166.2349175798563,2.662349175798563,Low,Long,Fall,78,Average
Movie_74,13771544.88,Adventure,French,163,9,23,29.26,5.73,6878112.79,5.16,Low,618,No,No,Japan,A,61379724.25,345.69962763683776,4.456996276368377,Medium,Epic,Fall,78,Hit
Movie_75,16003477.18,Animation,Japanese,107,3,20,28.95,8.83,2729273.84,6.54,Medium,1596,No,No,South Korea,A,70300052.65,339.27986311534835,4.392798631153483,Medium,Standard,Spring,72,Hit
Movie_76,39569453.31,Adventure,Tamil,177,4,14,53.98,3.36,14597399.74,6.12,High,3565,No,No,India,R,120812153.97,205.31671242338928,3.0531671242338927,Medium,Epic,Spring,78,Flop
Movie_77,15896746.73,Animation,English,169,7,26,27.69,4.07,4984202.47,4.41,Low,1520,No,No,UK,PG,48825696.26,207.14269459836828,3.0714269459836827,Medium,Epic,Summer,72,Average
Movie_78,2736086.67,Action,Spanish,94,4,24,63.12,8.73,375124.13,6.37,Medium,3143,No,No,France,PG,22335102.48,716.3156059672629,8.163156059672628,Low,Standard,Spring,85,Blockbuster
Movie_79,14821987.91,Horror,Telugu,100,12,4,26.88,4.23,2521792.34,8.94,Medium,3646,Yes,No,Canada,U,46171540.65,211.5070726703892,3.115070726703892,Medium,Standard,Winter,68,Average
Movie_80,4713082.28,Thriller,Tamil,167,8,7,72.49,5.02,1856436.23,7.4,Medium,2227,No,Yes,Japan,PG,6570982.48,39.42006715825891,1.394200671582589,Low,Epic,Summer,73,Average
Movie_81,13689224.86,Comedy,Japanese,121,2,24,64.9,5.7,2851174.02,7.13,Medium,2527,No,Yes,Germany,UA,42866297.15,213.13896578071115,3.1313896578071114,Medium,Long,Winter,80,Hit
Movie_82,13088043.77,Romance,Hindi,97,2,14,58.09,9.55,1620230.15,5.29,Medium,2587,No,Yes,Japan,PG,17898531.93,36.754829404119576,1.3675482940411958,Medium,Standard,Winter,74,Average
Movie_83,8706227.25,Action,Hindi,93,3,10,48.86,3.39,2115159.19,5.59,Medium,2384,No,No,France,UA,10782114.86,23.84371037408884,1.2384371037408883,Low,Standard,Spring,85,Flop
Movie_84,42285912.19,Crime,Spanish,92,12,22,85.58,6.68,21086753.24,4.27,Medium,780,No,No,UK,R,135401718.51,220.20526813187803,3.20205268131878,Medium,Standard,Winter,65,Hit
Movie_85,2355217.34,Fantasy,English,129,12,12,51.8,7.09,356158.43,5.93,Low,4918,No,No,Germany,UA,6459126.95,174.24759661458677,2.7424759661458675,Low,Long,Winter,75,Super Hit
Movie_86,3449854.15,Crime,Japanese,172,9,12,46.34,6.16,1128701.52,6.77,Medium,2076,No,Yes,Japan,A,15521217.92,349.90939457542,4.4990939457542,Low,Epic,Fall,65,Average
Movie_87,27691121.82,Thriller,Korean,118,10,17,80.44,4.8,11927007.92,9.57,Medium,970,Yes,No,Canada,G,141736073.48,411.8466286823767,5.118466286823767,Medium,Standard,Fall,73,Blockbuster
Movie_88,53546245.87,Horror,English,83,11,17,22.12,8.2,23606298.08,6.98,Medium,2534,No,Yes,USA,PG,272958246.07,409.76168662260693,5.097616866226069,High,Short,Fall,68,Hit
Movie_89,10684896.05,Mystery,Japanese,96,2,15,62.92,9.76,5186790.09,9.13,Low,4689,No,Yes,India,R,90324737.34,745.3497059524504,8.453497059524505,Medium,Standard,Winter,62,Blockbuster
Movie_90,6601880.56,Horror,Spanish,178,11,13,49.6,5.92,972850.7,8.77,High,810,No,No,France,UA,18283826.34,176.94875988486532,2.769487598848653,Low,Epic,Fall,68,Flop
Movie_91,9354767.54,Fantasy,Hindi,96,2,11,69.5,3.28,2663216.99,7.13,Low,2513,Yes,Yes,India,A,45440700.0,385.749109271827,4.85749109271827,Low,Standard,Winter,75,Hit
Movie_92,21313307.97,Crime,Japanese,177,7,19,89.71,7.44,5788917.14,6.59,Low,1420,No,No,Japan,U,100228970.17,370.2647299568862,4.702647299568862,Medium,Epic,Summer,65,Blockbuster
Movie_93,22972727.23,Crime,Telugu,84,10,25,29.4,3.42,9967477.32,4.93,Medium,811,No,Yes,UK,PG-13,73369192.37,219.3751949232542,3.1937519492325426,Medium,Short,Fall,65,Flop
Movie_94,19807242.84,Romance,Tamil,98,3,28,27.54,9.07,7588898.65,8.98,High,3285,No,Yes,Canada,U,100328505.9,406.5243391543131,5.065243391543132,Medium,Standard,Spring,74,Super Hit
Movie_95,39068502.12,Animation,English,177,10,15,56.51,5.7,9557703.19,6.35,Low,3757,No,No,UK,PG,168102543.41,330.27639732301054,4.302763973230106,Medium,Epic,Fall,72,Super Hit
Movie_96,64997154.44,Sci-Fi,Hindi,100,10,7,61.26,9.55,31905614.16,5.42,Low,2099,Yes,Yes,South Korea,UA,328614454.52,405.58283258900155,5.055828325890015,High,Standard,Fall,77,Blockbuster
Movie_97,10479389.75,Romance,French,100,11,18,89.13,9.64,2506254.1,4.54,Low,2332,No,Yes,Japan,PG-13,47410992.95,352.42131537287275,4.524213153728728,Medium,Standard,Fall,74,Blockbuster
Movie_98,7066282.61,Animation,English,145,2,13,38.29,8.05,1183950.12,9.62,Low,4199,No,No,USA,R,40576165.84,474.22223366183766,5.742222336618377,Low,Long,Winter,72,Blockbuster
Movie_99,8608831.9,Fantasy,French,127,12,2,67.44,4.6,3056510.6,4.31,High,577,No,No,South Korea,A,12588153.97,46.22371671585317,1.4622371671585317,Low,Long,Winter,75,Flop
Movie_100,13371445.88,Sci-Fi,Spanish,122,3,25,70.49,5.43,4880736.03,8.03,High,3672,No,No,Japan,PG,36987504.57,176.61559491724913,2.766155949172491,Medium,Long,Spring,77,Super Hit
Movie_101,15991826.21,Horror,Telugu,154,5,6,70.15,8.23,7322259.9,5.64,Low,948,Yes,Yes,South Korea,A,89142250.91,457.42383477290167,5.574238347729017,Medium,Epic,Spring,68,Super Hit
Movie_102,7666808.19,Animation,Japanese,150,10,11,58.27,4.03,1605214.05,5.85,Low,3681,No,Yes,USA,A,23064148.85,200.8311709178158,3.008311709178158,Low,Long,Fall,72,Average
Movie_103,9313393.35,Animation,Tamil,124,4,7,48.86,4.23,2672886.3,6.35,Low,4594,No,Yes,Germany,PG-13,24536044.34,163.44902891919625,2.6344902891919624,Low,Long,Spring,72,Average
Movie_104,17334911.52,Sci-Fi,Telugu,103,1,27,59.83,7.5,7746433.03,9.99,Medium,2484,No,No,Japan,R,125943404.88,626.5304165798245,7.265304165798246,Medium,Standard,Winter,77,Blockbuster
Movie_105,22846036.04,Drama,Tamil,129,6,17,64.17,8.86,3277557.24,5.35,High,809,No,No,South Korea,PG,62081721.76,171.7395772785448,2.7173957727854483,Medium,Long,Summer,70,Average
Movie_106,12123702.03,Romance,Telugu,140,6,10,64.56,5.07,2035811.92,5.17,Low,3332,No,No,India,A,30641302.52,152.73882881794978,2.527388288179498,Medium,Long,Summer,74,Hit
Movie_107,10706570.36,Thriller,Spanish,106,10,5,74.22,8.7,2078172.67,5.66,High,3027,No,No,Japan,PG-13,32423279.27,202.83534483772826,3.0283534483772825,Medium,Standard,Fall,73,Average
Movie_108,5336542.67,Mystery,Tamil,163,9,1,65.69,9.96,616145.07,5.25,Medium,3779,Yes,Yes,India,PG,6773733.89,26.931129550960748,1.2693112955096075,Low,Epic,Fall,62,Hit
Movie_109,4832363.28,Fantasy,Telugu,121,9,25,71.38,7.83,2383296.77,6.47,Medium,1594,Yes,No,India,PG,40683618.52,741.8990080563646,8.418990080563646,Low,Long,Fall,75,Blockbuster
Movie_110,43422872.51,Animation,Spanish,98,3,9,83.68,9.35,18284861.05,5.6,Low,1033,Yes,No,South Korea,PG-13,407480721.09,838.4011179733903,9.384011179733903,Medium,Standard,Spring,72,Blockbuster
Movie_111,23252473.28,Comedy,Hindi,83,10,19,82.63,4.48,10857933.9,9.11,High,826,Yes,No,Japan,G,70184618.52,201.83721823848924,3.0183721823848924,Medium,Short,Fall,80,Super Hit
Movie_112,34886557.07,Adventure,Korean,158,2,22,55.3,9.14,10849127.99,8.47,High,1225,No,Yes,Japan,UA,97836998.46,180.44326146512455,2.8044326146512453,Medium,Epic,Winter,78,Hit
Movie_113,8407957.62,Sci-Fi,Tamil,119,12,27,39.74,8.16,3120939.2,7.14,Low,2016,No,No,UK,UA,68295563.03,712.2729218751701,8.1227292187517,Low,Standard,Winter,77,Blockbuster
Movie_114,38000569.8,Horror,Telugu,127,3,3,52.99,9.13,8117701.64,8.73,Medium,3245,No,Yes,UK,UA,54898374.1,44.46723927808052,1.4446723927808052,Medium,Long,Spring,68,Hit
Movie_115,11704917.87,Thriller,Tamil,162,6,7,76.95,6.94,3490898.48,4.33,Medium,4182,Yes,Yes,Japan,PG,35228909.71,200.97528322084676,3.0097528322084677,Medium,Epic,Summer,73,Super Hit
Movie_116,9573390.69,Fantasy,Telugu,166,4,7,62.5,8.45,1898210.92,5.38,Low,2031,No,No,USA,R,26613570.52,177.99524099439003,2.7799524099439004,Low,Epic,Spring,75,Hit
Movie_117,33262372.28,Action,Telugu,144,1,26,84.94,5.45,11024604.36,4.85,High,1263,No,Yes,India,G,40839560.12,22.780058428231854,1.2278005842823185,Medium,Long,Winter,85,Average
Movie_118,68227410.48,Crime,Telugu,87,2,3,30.6,8.79,22658056.03,8.65,Medium,2341,No,No,India,R,182214509.28,167.06936112343567,2.6706936112343564,High,Short,Winter,65,Average
Movie_119,7604090.29,Action,Tamil,96,10,8,32.28,4.72,3321680.02,5.98,Medium,3406,Yes,No,South Korea,U,40175087.02,428.3352181237712,5.283352181237712,Low,Standard,Fall,85,Hit
Movie_120,9318283.55,Adventure,Korean,109,3,9,64.34,7.35,3206739.64,7.74,Low,1973,No,No,France,G,25379179.34,172.35895112893402,2.7235895112893402,Low,Standard,Spring,78,Super Hit
Movie_121,7030702.38,Thriller,French,102,10,22,38.96,8.81,2238008.36,8.56,Medium,2932,No,No,Canada,A,36229177.32,415.2995442256226,5.152995442256226,Low,Standard,Fall,73,Blockbuster
Movie_122,15813131.03,Adventure,Hindi,87,9,14,93.73,6.45,4543558.7,9.77,Medium,3150,Yes,Yes,Japan,A,85452007.48,440.38638722390965,5.403863872239096,Medium,Short,Fall,78,Blockbuster
Movie_123,11275645.09,Mystery,French,83,12,5,95.29,4.17,3953869.08,5.96,Medium,1886,No,Yes,France,A,16998701.61,50.7559121834687,1.5075591218346869,Medium,Short,Winter,62,Flop
Movie_124,3020499.9,Crime,Japanese,179,9,9,40.03,4.84,1005759.7,9.96,High,992,No,No,South Korea,A,8529816.35,182.39750479713638,2.823975047971364,Low,Epic,Fall,65,Flop
Movie_125,29163362.38,Animation,Japanese,110,3,29,98.8,9.34,12230511.61,5.61,Medium,3366,No,No,Germany,PG-13,266418808.64,813.5394100603019,9.135394100603019,Medium,Standard,Spring,72,Blockbuster
Movie_126,14780043.41,Drama,English,113,6,6,88.04,6.12,2825162.65,8.56,Medium,1295,No,Yes,USA,G,35982832.95,143.45552953961183,2.4345552953961183,Medium,Standard,Summer,70,Average
Movie_127,12801572.81,Thriller,Tamil,138,1,25,32.43,7.25,3557239.75,6.66,Low,2533,No,Yes,South Korea,PG,64958258.19,407.42404198379114,5.074240419837912,Medium,Long,Winter,73,Super Hit
Movie_128,9346895.04,Sci-Fi,Spanish,100,2,22,67.95,9.67,2781873.76,5.8,Medium,3972,Yes,Yes,UK,R,39982808.25,327.7656706199624,4.2776567061996245,Low,Standard,Winter,77,Blockbuster
Movie_129,6256629.73,Fantasy,Hindi,144,8,23,84.84,7.98,882929.82,6.85,Medium,3626,Yes,Yes,India,A,48022766.52,667.5500803529252,7.675500803529251,Low,Long,Summer,75,Blockbuster
Movie_130,34519800.02,Fantasy,Telugu,172,8,27,21.43,9.47,16596136.59,4.07,High,3718,No,No,USA,UA,190710979.86,452.4683797400516,5.524683797400516,Medium,Epic,Summer,75,Super Hit
Movie_131,8949970.37,Thriller,French,141,8,17,32.29,8.18,1163558.11,8.38,High,2857,No,Yes,Canada,PG,12037488.12,34.497519235921224,1.3449751923592124,Low,Long,Summer,73,Average
Movie_132,10608077.58,Crime,Hindi,101,8,28,78.73,4.51,4708124.24,6.27,High,4033,No,No,Japan,PG,34044955.31,220.93426026773085,3.2093426026773084,Medium,Standard,Summer,65,Super Hit
Movie_133,8026597.76,Drama,Tamil,88,11,10,25.7,6.33,3222745.4,5.71,Medium,614,No,No,India,G,11745591.23,46.333372883506755,1.4633337288350676,Low,Short,Fall,70,Flop
